artifact ID,filename,folder,source file,source heading,original line range or source boundary,document family,purpose,product layer,likely FS section,generation,authority status,maturity percentage,confidence in assessment,missing to reach 75%,missing to reach 100%,duplication notes,conflict notes,recommended action
PV10-0011,RFC-11008.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11008 — Institutional Relationship and Market Graph,File: 01_VOLUME_XI/RFC-11008.md,"Data, Connectors and Graph",Defines or inventories RFC-11008 — Institutional Relationship and Market Graph,"Data, Connectors and Graph",FS-9000,Post–Volume 10 institutional intelligence package,Active Draft,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0012,RFC-11009.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"RFC-11009 — Readiness, Fit, and Opportunity Intelligence",File: 01_VOLUME_XI/RFC-11009.md,"Documents, Evidence and Knowledge","Defines or inventories RFC-11009 — Readiness, Fit, and Opportunity Intelligence","Documents, Evidence and Knowledge",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0013,RFC-11010.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11010 — Regulatory and Compliance Intelligence,File: 01_VOLUME_XI/RFC-11010.md,"Documents, Evidence and Knowledge",Defines or inventories RFC-11010 — Regulatory and Compliance Intelligence,"Documents, Evidence and Knowledge",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0014,RFC-11011.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11011 — Institutional Decision and Evidence Model,File: 01_VOLUME_XI/RFC-11011.md,"Documents, Evidence and Knowledge",Defines or inventories RFC-11011 — Institutional Decision and Evidence Model,"Documents, Evidence and Knowledge",FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0015,RFC-11012.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11012 — Public Intelligence and Publication Model,File: 01_VOLUME_XI/RFC-11012.md,"Executive, Board and Governance",Defines or inventories RFC-11012 — Public Intelligence and Publication Model,"Executive, Board and Governance",FS-4000,Post–Volume 10 institutional intelligence package,Active Draft,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0016,RFC-11013.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11013 — Private Institutional Configuration Model,File: 01_VOLUME_XI/RFC-11013.md,Workflows,Defines or inventories RFC-11013 — Private Institutional Configuration Model,Workflows,FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,32,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0017,RFC-11014.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,RFC-11014 — Institutional Intelligence APIs,File: 01_VOLUME_XI/RFC-11014.md,"Data, Connectors and Graph",Defines or inventories RFC-11014 — Institutional Intelligence APIs,"Data, Connectors and Graph",FS-9000,Post–Volume 10 institutional intelligence package,Active Draft,29,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0018,RFC-11015.md,01_VOLUME_XI,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"RFC-11015 — Acceptance, Evaluation, and Operational Readiness",File: 01_VOLUME_XI/RFC-11015.md,"Executive, Board and Governance","Defines or inventories RFC-11015 — Acceptance, Evaluation, and Operational Readiness","Executive, Board and Governance",FS-8000,Post–Volume 10 institutional intelligence package,Active Draft,53,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation; security/privacy controls,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0019,CAPITAL_MARKETS_AND_PRIVATE_MARKETS.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Capital Markets and Private Markets Ontology,File: 02_ONTOLOGY/CAPITAL_MARKETS_AND_PRIVATE_MARKETS.md,Ontology and Truth Models,Defines or inventories Capital Markets and Private Markets Ontology,Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,44,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0020,COOPERATIVE_FINANCE_AND_CUSOS.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Cooperative Finance and CUSO Ontology,File: 02_ONTOLOGY/COOPERATIVE_FINANCE_AND_CUSOS.md,Ontology and Truth Models,Defines or inventories Cooperative Finance and CUSO Ontology,Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,29,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0021,CUSTOMERS_MEMBERS_AND_RELATIONSHIPS.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Customers, Members, and Relationships Ontology",File: 02_ONTOLOGY/CUSTOMERS_MEMBERS_AND_RELATIONSHIPS.md,Ontology and Truth Models,"Defines or inventories Customers, Members, and Relationships Ontology",Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,23,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0022,DEPOSITS_TREASURY_AND_LIQUIDITY.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Deposits, Treasury, and Liquidity Ontology",File: 02_ONTOLOGY/DEPOSITS_TREASURY_AND_LIQUIDITY.md,Ontology and Truth Models,"Defines or inventories Deposits, Treasury, and Liquidity Ontology",Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,38,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0023,FINANCE_ACCOUNTING_AND_ECONOMICS.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Finance, Accounting, and Institutional Economics Ontology",File: 02_ONTOLOGY/FINANCE_ACCOUNTING_AND_ECONOMICS.md,Ontology and Truth Models,"Defines or inventories Finance, Accounting, and Institutional Economics Ontology",Ontology and Truth Models,FS-6000,Post–Volume 10 institutional intelligence package,Superseded,29,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0024,FINTECH_AND_FINANCIAL_INFRASTRUCTURE.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Fintech and Financial Infrastructure Ontology,File: 02_ONTOLOGY/FINTECH_AND_FINANCIAL_INFRASTRUCTURE.md,Workflows,Defines or inventories Fintech and Financial Infrastructure Ontology,Workflows,FS-12000,Post–Volume 10 institutional intelligence package,Superseded,47,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; fixtures and sample outputs; acceptance tests and validation,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0025,INNOVATION_PROCUREMENT_AND_ADOPTION.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Innovation, Procurement, and Adoption Ontology",File: 02_ONTOLOGY/INNOVATION_PROCUREMENT_AND_ADOPTION.md,Ontology and Truth Models,"Defines or inventories Innovation, Procurement, and Adoption Ontology",Ontology and Truth Models,FS-12000,Post–Volume 10 institutional intelligence package,Superseded,47,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0026,INSTITUTIONS_AND_GOVERNANCE.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institutions and Governance Ontology,File: 02_ONTOLOGY/INSTITUTIONS_AND_GOVERNANCE.md,Workflows,Defines or inventories Institutions and Governance Ontology,Workflows,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,47,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0027,LENDING_CREDIT_AND_SERVICING.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Lending, Credit, and Servicing Ontology",File: 02_ONTOLOGY/LENDING_CREDIT_AND_SERVICING.md,Ontology and Truth Models,"Defines or inventories Lending, Credit, and Servicing Ontology",Ontology and Truth Models,FS-13000,Post–Volume 10 institutional intelligence package,Superseded,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0028,OPERATIONS_TECHNOLOGY_AND_DATA.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Operations, Technology, and Data Ontology",File: 02_ONTOLOGY/OPERATIONS_TECHNOLOGY_AND_DATA.md,Workflows,"Defines or inventories Operations, Technology, and Data Ontology",Workflows,FS-8000,Post–Volume 10 institutional intelligence package,Superseded,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; fixtures and sample outputs; acceptance tests and validation,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0029,PAYMENTS_CARDS_AND_MONEY_MOVEMENT.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Payments, Cards, and Money Movement Ontology",File: 02_ONTOLOGY/PAYMENTS_CARDS_AND_MONEY_MOVEMENT.md,Ontology and Truth Models,"Defines or inventories Payments, Cards, and Money Movement Ontology",Ontology and Truth Models,FS-10000,Post–Volume 10 institutional intelligence package,Superseded,38,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0030,RISK_COMPLIANCE_AND_REGULATION.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Risk, Compliance, and Regulation Ontology",File: 02_ONTOLOGY/RISK_COMPLIANCE_AND_REGULATION.md,Ontology and Truth Models,"Defines or inventories Risk, Compliance, and Regulation Ontology",Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Superseded,41,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0031,WEALTH_BROKERAGE_TRUST_AND_INSURANCE.md,02_ONTOLOGY,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,"Wealth, Brokerage, Trust, and Insurance Ontology",File: 02_ONTOLOGY/WEALTH_BROKERAGE_TRUST_AND_INSURANCE.md,Ontology and Truth Models,"Defines or inventories Wealth, Brokerage, Trust, and Insurance Ontology",Ontology and Truth Models,FS-12000,Post–Volume 10 institutional intelligence package,Superseded,32,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
PV10-0032,FINTECH_INSTITUTIONALIZATION_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Fintech Institutionalization Truth Model,File: 03_TRUTH_MODELS/FINTECH_INSTITUTIONALIZATION_TRUTH_MODEL.md,Ontology and Truth Models,Defines or inventories Fintech Institutionalization Truth Model,Ontology and Truth Models,FS-4000,Post–Volume 10 institutional intelligence package,Canonical Input,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0033,INNOVATION_TO_INSTITUTION_BRIDGE.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Innovation-to-Institution Bridge Truth Model,File: 03_TRUTH_MODELS/INNOVATION_TO_INSTITUTION_BRIDGE.md,Ontology and Truth Models,Defines or inventories Innovation-to-Institution Bridge Truth Model,Ontology and Truth Models,FS-6000,Post–Volume 10 institutional intelligence package,Active Draft,23,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0034,INSTITUTION_LIFECYCLE_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Institution Lifecycle Truth Model,File: 03_TRUTH_MODELS/INSTITUTION_LIFECYCLE_TRUTH_MODEL.md,Ontology and Truth Models,Defines or inventories Institution Lifecycle Truth Model,Ontology and Truth Models,FS-8000,Post–Volume 10 institutional intelligence package,Canonical Input,26,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Potential overlap with later FS sections; verify against current release packages,No conflict resolved at inventory stage,"Preserve, map, and reconcile before retirement"
PV10-0035,LENDING_CREDIT_TRUTH_MODEL.md,03_TRUTH_MODELS,$ DISPATCH_INSTITUTIONAL_INTELLIGENCE_V1-20260722T063923Z-1-001(1).zip,Lending and Credit Truth Model,File: 03_TRUTH_MODELS/LENDING_CREDIT_TRUTH_MODEL.md,Ontology and Truth Models,Defines or inventories Lending and Credit Truth Model,Ontology and Truth Models,FS-8000,Post–Volume 10 institutional intelligence package,Superseded,20,High,normalize object definitions; complete workflow/state logic; reconcile terminology and dependencies,machine-readable schemas and field dictionaries; permission/approval matrices; API and event contracts; fixtures and sample outputs; acceptance tests and validation; security/privacy controls; implementation and operations runbooks,Fully absorbed by FS-4000 domain operating frameworks; see FS4000_REDUNDANCY_RECONCILIATION.csv.,No conflict resolved at inventory stage,Retain only in original unmodified source; remove segmented derivative from active package because FS-4000 is authoritative.
