post–Volume 10 artifact,primary FS mapping,secondary FS mapping,mapping rationale,coverage type,current FS status,overlap level,missing from FS,superseded by FS,still independently valuable
PV10-0037 | REGULATORY_INTELLIGENCE_TRUTH_MODEL.md,FS-6000,,Workflows content aligns most strongly to FS-6000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0038 | EVIDENCE_CONFIDENCE_AND_FRESHNESS.md,FS-8000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-8000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0039 | INSTITUTIONAL_RULE_LIBRARY.md,FS-6000,,"Documents, Evidence and Knowledge content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0040 | READINESS_AND_FIT_SCORING.md,FS-12000,,"Data, Connectors and Graph content aligns most strongly to FS-12000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0041 | 01_PUBLIC_INSTITUTION_PROFILE.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0042 | 02_PRIVATE_TERMINAL_ONBOARDING.md,FS-8000,,Agents content aligns most strongly to FS-8000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0043 | 03_FINTECH_QUALIFICATION.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0044 | 04_INSTITUTION_FINTECH_MATCH.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0045 | 05_PILOT_EXECUTION.md,FS-12000,,Agents content aligns most strongly to FS-12000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0046 | 06_VENDOR_DUE_DILIGENCE.md,FS-12000,,Agents content aligns most strongly to FS-12000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0047 | 07_CUSO_PARTNERSHIP.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0048 | 08_INVESTMENT_COMMITTEE.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0049 | 09_REGULATORY_CHANGE.md,FS-6000,,Workflows content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0050 | 10_AURIC_PUBLICATION.md,FS-6000,,Agents content aligns most strongly to FS-6000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0051 | AGENT_CATALOG.csv,FS-5000,,Workflows content aligns most strongly to FS-5000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0052 | AGENT_LIBRARY_SPEC.md,FS-4000,,Agents content aligns most strongly to FS-4000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0053 | MARKET_GRAPH_SCHEMA.md,FS-9000,,"Data, Connectors and Graph content aligns most strongly to FS-9000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0054 | PROFILE_SCHEMAS.md,FS-12000,,Workflows content aligns most strongly to FS-12000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0055 | CONNECTOR_PRIORITY_BACKLOG.md,FS-8000,,"Data, Connectors and Graph content aligns most strongly to FS-8000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0056 | PUBLIC_SOURCE_MAP.md,FS-8000,,"Data, Connectors and Graph content aligns most strongly to FS-8000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0057 | ACCEPTANCE_TESTS.md,FS-6000,,"Data, Connectors and Graph content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0058 | CLAUDE_NEXT_THREAD_PROMPT.md,FS-6000,,"Data, Connectors and Graph content aligns most strongly to FS-6000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0059 | IMPLEMENTATION_BACKLOG.md,FS-8000,,Workflows content aligns most strongly to FS-8000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0060 | WEEK_COMPLETION_PLAN.md,FS-4000,,Workflows content aligns most strongly to FS-4000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0061 | MANIFEST.json,FS-8000,,Workflows content aligns most strongly to FS-8000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0062 | README.md,FS-4000,,Workflows content aligns most strongly to FS-4000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0063 | domain_registry.json,FS-4000,,Ontology and Truth Models content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0064 | relationship_types.json,FS-9000,,"Executive, Board and Governance content aligns most strongly to FS-9000",partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0065 | $ DISPATCH_OS_REMAINING_ROADMAP(1).md,FS-4000,,Workflows content aligns most strongly to FS-4000,partially absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,High,Requires artifact-level comparison,Possibly in implementation detail; unresolved until comparison,"Yes—preserves product evolution, domain breadth, or provenance"
PV10-0066 | 008_FINTECH_ECOSYSTEM(2).md,FS-4000,,Workflows content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0067 | 009_CREDIT_UNION_ECOSYSTEM.md,FS-4000,FS-12000,Ecosystem Documents content aligns most strongly to FS-4000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
PV10-0068 | 010_CAPITAL_MARKETS_ECOSYSTEM.md,FS-6000,FS-12000,Ecosystem Documents content aligns most strongly to FS-6000,fully absorbed,Current FS-4000–FS-14000 package exists; detailed absorption test pending,Complete,None identified at the domain-framework level,Yes — FS-4000 is authoritative,No as an active derivative; original source remains valuable for provenance
