cartridge_id,manifest_file,reference_class,source_field,source_term,resolved_id,status
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Customer Relationship Agent,AGENT.CUSTOMER_RELATIONSHIP_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Deposit Product Agent,AGENT.DEPOSIT_PRODUCT_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Loan Origination Agent,AGENT.LOAN_ORIGINATION_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Treasury Services Agent,AGENT.TREASURY_SERVICES_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Branch Performance Agent,AGENT.BRANCH_PERFORMANCE_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Digital Channel Agent,AGENT.DIGITAL_CHANNEL_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Complaint Management Agent,AGENT.COMPLAINT_MANAGEMENT_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,agent,allowed_agents,Board Reporting Agent,AGENT.BOARD_REPORTING_AGENT,resolved
FS-4001,FS-4001_BANKING.cartridge.json,evidence,required_evidence,customer_identification KYC/KYB_evidence account_disclosures approval_or_exception_record,EVID.CUSTOMER_IDENTIFICATION_KYC_KYB_EVIDENCE_ACCOUNT_DISCLOSURES_APPROVAL_OR_EXCEPTION_RECORD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,evidence,required_evidence,account_application disclosures signature_or_e_acceptance funding_confirmation,EVID.ACCOUNT_APPLICATION_DISCLOSURES_SIGNATURE_OR_E_ACCEPTANCE_FUNDING_CONFIRMATION,resolved
FS-4001,FS-4001_BANKING.cartridge.json,evidence,required_evidence,credit_application credit_memo financials collateral_evidence approval_record loan_documents,EVID.CREDIT_APPLICATION_CREDIT_MEMO_FINANCIALS_COLLATERAL_EVIDENCE_APPROVAL_RECORD_LOAN_DOCUMENTS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,evidence,required_evidence,payment_flow_map service_agreement risk_control_setup implementation_confirmation,EVID.PAYMENT_FLOW_MAP_SERVICE_AGREEMENT_RISK_CONTROL_SETUP_IMPLEMENTATION_CONFIRMATION,resolved
FS-4001,FS-4001_BANKING.cartridge.json,evidence,required_evidence,complaint_record investigation_notes supporting_documents response_approval closure_evidence,EVID.COMPLAINT_RECORD_INVESTIGATION_NOTES_SUPPORTING_DOCUMENTS_RESPONSE_APPROVAL_CLOSURE_EVIDENCE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,evidence,required_evidence,source_KPIs management_commentary risk_summary approval_record,EVID.SOURCE_KPIS_MANAGEMENT_COMMENTARY_RISK_SUMMARY_APPROVAL_RECORD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,approval,approval_gates,credit_authority,APP.CREDIT_AUTHORITY,resolved
FS-4001,FS-4001_BANKING.cartridge.json,approval,approval_gates,credit_authority operations_owner,APP.CREDIT_AUTHORITY_OPERATIONS_OWNER,resolved
FS-4001,FS-4001_BANKING.cartridge.json,approval,approval_gates,executive_owner,APP.EXECUTIVE_OWNER,resolved
FS-4001,FS-4001_BANKING.cartridge.json,approval,approval_gates,compliance_owner legal_counsel_if_escalated,APP.COMPLIANCE_OWNER_LEGAL_COUNSEL_IF_ESCALATED,resolved
FS-4001,FS-4001_BANKING.cartridge.json,approval,approval_gates,business_owner vendor_risk_owner security_owner,APP.BUSINESS_OWNER_VENDOR_RISK_OWNER_SECURITY_OWNER,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,total_assets,KPI.TOTAL_ASSETS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,loan_growth,KPI.LOAN_GROWTH,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,deposit_growth,KPI.DEPOSIT_GROWTH,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,loan_to_deposit_ratio,KPI.LOAN_TO_DEPOSIT_RATIO,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,cost_of_funds,KPI.COST_OF_FUNDS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,net_interest_margin,KPI.NET_INTEREST_MARGIN,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,liquidity_ratio,KPI.LIQUIDITY_RATIO,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,customers,KPI.CUSTOMERS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,active_relationships,KPI.ACTIVE_RELATIONSHIPS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,products_per_customer,KPI.PRODUCTS_PER_CUSTOMER,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,relationship_profitability,KPI.RELATIONSHIP_PROFITABILITY,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,retention_rate,KPI.RETENTION_RATE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,cross_sell_rate,KPI.CROSS_SELL_RATE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,delinquency_rate,KPI.DELINQUENCY_RATE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,charge_off_rate,KPI.CHARGE_OFF_RATE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,criticized_assets,KPI.CRITICIZED_ASSETS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,watchlist_exposure,KPI.WATCHLIST_EXPOSURE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,complaints,KPI.COMPLAINTS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,fraud_events,KPI.FRAUD_EVENTS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,account_opening_cycle_time,KPI.ACCOUNT_OPENING_CYCLE_TIME,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,digital_active_users,KPI.DIGITAL_ACTIVE_USERS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,branch_transactions,KPI.BRANCH_TRANSACTIONS,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,service_SLA,KPI.SERVICE_SLA,resolved
FS-4001,FS-4001_BANKING.cartridge.json,kpi,kpis,exception_rate,KPI.EXCEPTION_RATE,resolved
FS-4001,FS-4001_BANKING.cartridge.json,dashboard,dashboards,Banking Executive Dashboard,DASH.BANKING_EXECUTIVE_DASHBOARD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,dashboard,dashboards,Relationship Dashboard,DASH.RELATIONSHIP_DASHBOARD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,dashboard,dashboards,Deposit Dashboard,DASH.DEPOSIT_DASHBOARD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,dashboard,dashboards,Loan Portfolio Dashboard,DASH.LOAN_PORTFOLIO_DASHBOARD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,dashboard,dashboards,Channel Operations Dashboard,DASH.CHANNEL_OPERATIONS_DASHBOARD,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,objects.registry.json,CONN.OBJECTS_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,workflows.registry.json,CONN.WORKFLOWS_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,agents.registry.json,CONN.AGENTS_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,kpis.registry.json,CONN.KPIS_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,dashboards.registry.json,CONN.DASHBOARDS_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,relationships.registry.json,CONN.RELATIONSHIPS_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,evidence.registry.json,CONN.EVIDENCE_REGISTRY_JSON,resolved
FS-4001,FS-4001_BANKING.cartridge.json,connector,integration_dependencies,approvals.registry.json,CONN.APPROVALS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,CreditUnion,OBJ.CREDITUNION,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,Member,OBJ.MEMBER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,FieldOfMembership,OBJ.FIELDOFMEMBERSHIP,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,CUSO,OBJ.CUSO,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,VendorStack,OBJ.VENDORSTACK,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,MemberProduct,OBJ.MEMBERPRODUCT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,Board,OBJ.BOARD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,object,primary_objects,FintechPilot,OBJ.FINTECHPILOT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,SERVES,REL.SERVES,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,QUALIFIES_UNDER,REL.QUALIFIES_UNDER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,OWNS_OR_PARTICIPATES_IN,REL.OWNS_OR_PARTICIPATES_IN,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,USES,REL.USES,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,REQUIRES,REL.REQUIRES,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,APPROVES,REL.APPROVES,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,HAS,REL.HAS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,relationship,relationships,ROUTES_TO,REL.ROUTES_TO,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,workflow,supported_workflows,Member Onboarding,WF.MEMBER_ONBOARDING,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,workflow,supported_workflows,CUSO Review,WF.CUSO_REVIEW,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,workflow,supported_workflows,Fintech Pilot Readiness,WF.FINTECH_PILOT_READINESS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,workflow,supported_workflows,Member Opportunity Detection,WF.MEMBER_OPPORTUNITY_DETECTION,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,workflow,supported_workflows,Board Governance Review,WF.BOARD_GOVERNANCE_REVIEW,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,workflow,supported_workflows,Regulatory Readiness,WF.REGULATORY_READINESS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Member Intelligence Agent,AGENT.MEMBER_INTELLIGENCE_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Credit Union Readiness Agent,AGENT.CREDIT_UNION_READINESS_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,CUSO Review Agent,AGENT.CUSO_REVIEW_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Fintech Pilot Agent,AGENT.FINTECH_PILOT_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Vendor Stack Agent,AGENT.VENDOR_STACK_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Board Governance Agent,AGENT.BOARD_GOVERNANCE_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Regulatory Readiness Agent,AGENT.REGULATORY_READINESS_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,agent,allowed_agents,Member Opportunity Agent,AGENT.MEMBER_OPPORTUNITY_AGENT,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,evidence,required_evidence,field_of_membership_evidence identity_evidence account_disclosures member_application,EVID.FIELD_OF_MEMBERSHIP_EVIDENCE_IDENTITY_EVIDENCE_ACCOUNT_DISCLOSURES_MEMBER_APPLICATION,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,evidence,required_evidence,CUSO_documents ownership_records service_agreement board_minutes policy_authority risk_review,EVID.CUSO_DOCUMENTS_OWNERSHIP_RECORDS_SERVICE_AGREEMENT_BOARD_MINUTES_POLICY_AUTHORITY_RISK_REVIEW,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,evidence,required_evidence,startup_deck use_case integration_map data_flow_diagram security_questionnaire vendor_review pilot_plan success_metrics,EVID.STARTUP_DECK_USE_CASE_INTEGRATION_MAP_DATA_FLOW_DIAGRAM_SECURITY_QUESTIONNAIRE_VENDOR_REVIEW_PILOT_PLAN_SUCCESS_METRICS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,evidence,required_evidence,member_profile product_relationships trigger_signal consent_status disclosure_requirements,EVID.MEMBER_PROFILE_PRODUCT_RELATIONSHIPS_TRIGGER_SIGNAL_CONSENT_STATUS_DISCLOSURE_REQUIREMENTS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,evidence,required_evidence,source_KPIs risk_summary policy_documents decision_support approval_record,EVID.SOURCE_KPIS_RISK_SUMMARY_POLICY_DOCUMENTS_DECISION_SUPPORT_APPROVAL_RECORD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,evidence,required_evidence,regulatory_profile obligation_map policy procedure control evidence_item exam_findings,EVID.REGULATORY_PROFILE_OBLIGATION_MAP_POLICY_PROCEDURE_CONTROL_EVIDENCE_ITEM_EXAM_FINDINGS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,approval,approval_gates,operations_owner compliance_owner,APP.OPERATIONS_OWNER_COMPLIANCE_OWNER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,approval,approval_gates,executive_owner compliance_owner legal_counsel board_or_committee_if_material,APP.EXECUTIVE_OWNER_COMPLIANCE_OWNER_LEGAL_COUNSEL_BOARD_OR_COMMITTEE_IF_MATERIAL,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,approval,approval_gates,business_owner vendor_risk_owner security_owner compliance_owner executive_owner,APP.BUSINESS_OWNER_VENDOR_RISK_OWNER_SECURITY_OWNER_COMPLIANCE_OWNER_EXECUTIVE_OWNER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,approval,approval_gates,referral_compliance_owner licensed_advisor_or_insurance_owner_when_needed,APP.REFERRAL_COMPLIANCE_OWNER_LICENSED_ADVISOR_OR_INSURANCE_OWNER_WHEN_NEEDED,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,approval,approval_gates,executive_owner,APP.EXECUTIVE_OWNER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,approval,approval_gates,compliance_owner,APP.COMPLIANCE_OWNER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,members,KPI.MEMBERS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,member_growth,KPI.MEMBER_GROWTH,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,products_per_member,KPI.PRODUCTS_PER_MEMBER,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,member_retention,KPI.MEMBER_RETENTION,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,wallet_share,KPI.WALLET_SHARE,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,member_opportunities,KPI.MEMBER_OPPORTUNITIES,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,assets,KPI.ASSETS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,net_worth_ratio,KPI.NET_WORTH_RATIO,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,ROA,KPI.ROA,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,loan_growth,KPI.LOAN_GROWTH,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,deposit_growth,KPI.DEPOSIT_GROWTH,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,fee_income,KPI.FEE_INCOME,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,operating_expense_ratio,KPI.OPERATING_EXPENSE_RATIO,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,fintech_pilots,KPI.FINTECH_PILOTS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,vendor_reviews,KPI.VENDOR_REVIEWS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,CUSO_opportunities,KPI.CUSO_OPPORTUNITIES,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,readiness_score,KPI.READINESS_SCORE,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,integration_readiness,KPI.INTEGRATION_READINESS,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,board_actions_open,KPI.BOARD_ACTIONS_OPEN,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,policy_reviews_due,KPI.POLICY_REVIEWS_DUE,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,exam_findings_open,KPI.EXAM_FINDINGS_OPEN,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,kpi,kpis,compliance_readiness_score,KPI.COMPLIANCE_READINESS_SCORE,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,dashboard,dashboards,Credit Union Terminal Dashboard,DASH.CREDIT_UNION_TERMINAL_DASHBOARD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,dashboard,dashboards,Member Opportunity Dashboard,DASH.MEMBER_OPPORTUNITY_DASHBOARD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,dashboard,dashboards,CUSO / Innovation Dashboard,DASH.CUSO_INNOVATION_DASHBOARD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,dashboard,dashboards,Vendor Stack Dashboard,DASH.VENDOR_STACK_DASHBOARD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,dashboard,dashboards,CU Governance Dashboard,DASH.CU_GOVERNANCE_DASHBOARD,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,objects.registry.json,CONN.OBJECTS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,workflows.registry.json,CONN.WORKFLOWS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,agents.registry.json,CONN.AGENTS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,kpis.registry.json,CONN.KPIS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,dashboards.registry.json,CONN.DASHBOARDS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,relationships.registry.json,CONN.RELATIONSHIPS_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,evidence.registry.json,CONN.EVIDENCE_REGISTRY_JSON,resolved
FS-4002,FS-4002_CREDIT_UNIONS.cartridge.json,connector,integration_dependencies,approvals.registry.json,CONN.APPROVALS_REGISTRY_JSON,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,CommercialBorrower,OBJ.COMMERCIALBORROWER,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,CommercialLoan,OBJ.COMMERCIALLOAN,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,CreditMemo,OBJ.CREDITMEMO,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,Collateral,OBJ.COLLATERAL,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,Covenant,OBJ.COVENANT,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,TreasuryRelationship,OBJ.TREASURYRELATIONSHIP,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,AnnualReview,OBJ.ANNUALREVIEW,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,object,primary_objects,WorkoutPlan,OBJ.WORKOUTPLAN,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,relationship,relationships,BORROWS_FROM,REL.BORROWS_FROM,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,relationship,relationships,SECURED_BY,REL.SECURED_BY,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,relationship,relationships,GOVERNS,REL.GOVERNS,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,relationship,relationships,SUPPORTS,REL.SUPPORTS,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,relationship,relationships,UPDATES,REL.UPDATES,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,relationship,relationships,REMEDIATES,REL.REMEDIATES,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,workflow,supported_workflows,Commercial Credit Underwriting,WF.COMMERCIAL_CREDIT_UNDERWRITING,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,workflow,supported_workflows,Annual Review,WF.ANNUAL_REVIEW,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,workflow,supported_workflows,Covenant Monitoring,WF.COVENANT_MONITORING,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,workflow,supported_workflows,Treasury Assessment,WF.TREASURY_ASSESSMENT,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,workflow,supported_workflows,Portfolio Watchlist,WF.PORTFOLIO_WATCHLIST,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,workflow,supported_workflows,Workout Review,WF.WORKOUT_REVIEW,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Commercial Credit Analyst,AGENT.COMMERCIAL_CREDIT_ANALYST,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Credit Memo Writer,AGENT.CREDIT_MEMO_WRITER,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Covenant Monitor,AGENT.COVENANT_MONITOR,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Treasury Opportunity Agent,AGENT.TREASURY_OPPORTUNITY_AGENT,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Portfolio Watchlist Agent,AGENT.PORTFOLIO_WATCHLIST_AGENT,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Collateral Analyst,AGENT.COLLATERAL_ANALYST,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Annual Review Agent,AGENT.ANNUAL_REVIEW_AGENT,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,agent,allowed_agents,Workout Strategy Agent,AGENT.WORKOUT_STRATEGY_AGENT,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,evidence,required_evidence,borrower_financials tax_returns debt_schedule collateral_evidence credit_memo approval_record,EVID.BORROWER_FINANCIALS_TAX_RETURNS_DEBT_SCHEDULE_COLLATERAL_EVIDENCE_CREDIT_MEMO_APPROVAL_RECORD,resolved
FS-4003,FS-4003_COMMERCIAL_BANKING.cartridge.json,evidence,required_evidence,financial_statements covenant_certificate relationship_profitability risk_rating_support review_approval,EVID.FINANCIAL_STATEMENTS_COVENANT_CERTIFICATE_RELATIONSHIP_PROFITABILITY_RISK_RATING_SUPPORT_REVIEW_APPROVAL,resolved
