Data Input Category,Input,Purpose,Preferred Pathway,Recommended Cadence
Invoice / Payment,Invoice created,Verify completed jobs are billed and connect work to cash,"FSM/QuickBooks API, webhook, or report export",Hourly to daily
Invoice / Payment,Completed job not invoiced,Create billing follow-up and reduce cash leakage,Dispatch rule comparing completed jobs vs invoice records,Daily
Invoice / Payment,Payment received,Close cash loop and update customer/job status,QuickBooks/payment processor/FSM API or daily report import,Daily
Invoice / Payment,Unpaid invoice aging,Create collection/follow-up work items by threshold,QuickBooks/FSM aging report or API sync,Daily
Invoice / Payment,Dispute/refund/credit note,Escalate customer service and revenue protection issue,Accounting email/API/report or manager note,Daily
Quality / Callback / Warranty,Customer complaint,Escalate rescue workflow and reputation risk,"Email/SMS parsing, phone note, review alert, or FSM issue sync",Real time
Quality / Callback / Warranty,Callback created,"Track rework, margin loss, and technician/process issues",FSM callback/job type API/report or dispatcher capture,Real time to daily
Quality / Callback / Warranty,Warranty claim,Route warranty work and connect to original job/evidence,"FSM API/export, email parsing, or manual exception capture",Daily
Quality / Callback / Warranty,Bad review posted,Create customer rescue and owner notification,"Google Business/reputation tool alert, email parser, or API",Real time to 1 hour
Quality / Callback / Warranty,Repeat issue at same location,Detect recurring problem and create deeper diagnosis workflow,Dispatch rule across job history/customer/location records,Daily
Recurring Service,Service agreement active,Identify recurring customers and service obligations,FSM/CRM/service agreement API/report export,Daily to weekly
Recurring Service,Next service due,Create scheduling work and prevent missed recurring revenue,FSM/CRM report/API or calendar/service list sync,Daily
Recurring Service,Missed recurring visit,Escalate service failure and revenue risk,Dispatch rule comparing due dates vs completed jobs,Daily
Recurring Service,Renewal date approaching,Create renewal follow-up and retention workflow,CRM/FSM report/API or scheduled export,Daily to weekly
Recurring Service,Maintenance plan opportunity,Surface upsell opportunities from job type/history,Dispatch rule from job history + customer eligibility,Daily to weekly
Admin / Operating Context,Technician roster and skills,Assign work to appropriate people and detect capacity gaps,"FSM/user export, HR roster, or configuration setup",Weekly or on change
Admin / Operating Context,Service area/territory,"Support routing, eligibility, and lead qualification","Configuration, mapping tool, CRM/FSM export",Weekly or on change
Admin / Operating Context,Pricing rules/margin targets,Support quote review and leakage detection,"Configuration, pricing sheet upload, or accounting/FSM export",Weekly/monthly or on change
Admin / Operating Context,SOPs/checklists,Define evidence and execution standards,"Document upload, configuration, or agent-assisted SOP extraction",On setup and on change
Admin / Operating Context,Escalation/approval rules,Route exceptions and high-risk decisions correctly,Configuration and manager approval workflow,On setup and on change
Admin / Operating Context,Vendor/supplier list,Support parts ETA and purchasing follow-up workflows,"Accounting/vendor export, FSM config, or document upload",Weekly/monthly or on change
System Health / Data Quality,Source sync status,Detect broken feeds before data gaps kill the loop,Connector health checks and sync run logs,Every sync run
System Health / Data Quality,Required field completeness,Create data-gap work items instead of relying on manual entry,Dispatch validation rules on normalized records,Hourly to daily
System Health / Data Quality,Duplicate customer/location records,Improve matching and reporting accuracy,Dispatch matching rules and periodic data quality scan,Daily to weekly
System Health / Data Quality,Stale data/source gap,Flag missing reports/API failures and repair pipeline,Dispatch source monitor comparing expected vs received cadence,Hourly to daily
Management / ROI,Open work volume,Show operational load and bottlenecks,Dispatch event/work item database,Real time to hourly
Management / ROI,Estimate follow-up leakage,Quantify revenue at risk from stale quotes,Dispatch metrics from estimates + follow-up events,Daily
Management / ROI,Cash leakage,Quantify unpaid/completed-not-invoiced work,Dispatch metrics from jobs + invoices + payments,Daily
Management / ROI,Callback/rework trend,Quantify quality and margin impact,Dispatch metrics from callbacks + original jobs + evidence,Weekly
Management / ROI,Technician utilization/workload,Show capacity and imbalance,Dispatch metrics from schedule + job events,Daily to weekly
Management / ROI,Recurring revenue opportunity,Show maintenance/renewal/service-plan upside,Dispatch metrics from service history + eligibility rules,Weekly
