Rule ID,Data Input Category,Data Input,Trigger Condition,Automation Key,Dispatch Action,Work Item Type,Priority,Cadence,Impact Area,Financial Logic,Evidence Required,Human Review Level,Metric Updated,Feedback Loop,Repeat / Deviate / Innovate Logic
FSR-011,Estimate / Quote,High-value estimate,Estimate amount exceeds configured high-value threshold,high_value_quote,Create priority sales follow-up and owner visibility alert,High-Value Follow-Up,High,Hourly,Revenue Creation,Large quotes deserve tighter follow-up and owner oversight,"Estimate amount, scope, customer, owner, sent date",Manager/owner review,"High-value quote pipeline, close rate",Repeat if closing improves; deviate if threshold wrong; innovate high-ticket sales playbook,"If high-value quotes stall, add manager review or financing offer workflow"
FSR-012,Estimate / Quote,Estimate approved,Estimate approved but no job scheduled within 24 hours,approved_not_scheduled,Create scheduling escalation work item,Schedule Approved Work,Critical,Real time to hourly,Revenue Capture,"Approved work not scheduled can be lost, delayed, or create customer dissatisfaction","Approved estimate, approval timestamp, customer availability",Dispatcher/manager review,"Approved unscheduled estimates, time to schedule",Repeat schedule escalation; deviate if capacity constrained; innovate capacity planning,"If approvals often wait for capacity, create capacity bottleneck report"
FSR-013,Estimate / Quote,Estimate declined/lost,Estimate marked declined or lost without reason code,lost_reason_missing,Create lost reason review work item,Sales Review,Low,Daily,Operating Maturity,"Lost reason data improves pricing, source quality, and sales process","Estimate, amount, customer, owner, lost status",Sales/manager review,"Lost reason completeness, close rate",Repeat reason capture; deviate options if too vague; innovate pricing/source strategy,"If losses cluster by price/source/job type, flag strategic review"
FSR-014,Schedule / Dispatch,Job scheduled,Scheduled job lacks assigned technician/crew,unassigned_scheduled_job,Create dispatch assignment work item,Dispatch Assignment,High,Real time to 15 minutes,Labor Efficiency,Unassigned jobs create missed appointments and idle capacity risk,"Job ID, scheduled time, required skill/service type",Dispatcher review,"Unassigned jobs, schedule completeness",Repeat assignment workflow; deviate if skill mismatch; innovate dispatch rules,"If unassigned jobs recur, adjust scheduling process or required fields"
FSR-015,Schedule / Dispatch,Job scheduled,"Scheduled job missing service address, customer contact, scope, or access instructions",pre_dispatch_data_gap,Create pre-dispatch blocker task,Pre-Dispatch Review,High,Real time to 15 minutes,Cost Reduction,Incomplete job info wastes technician time and causes failed appointments,"Missing fields, job record, scheduled time",Dispatcher/CSR review,"Pre-dispatch blockers, failed appointment risk",Repeat blocker checks; deviate thresholds; innovate intake completeness rules,"If blockers repeat, enforce required fields before scheduling"
FSR-016,Schedule / Dispatch,Schedule change,"Job rescheduled, cancelled, or moved same day",schedule_change_event,Update job status and create customer/tech notification check,Schedule Change Review,High,Real time,Customer Experience,"Uncommunicated schedule changes create complaints, wasted trips, and churn risk","Old/new schedule, change reason, notification status",Dispatcher review,"Same-day schedule changes, customer notification completion",Repeat notifications; deviate if change types differ; innovate schedule change template,"If same-day changes recur, flag capacity/planning issue"
FSR-017,Schedule / Dispatch,Technician route/schedule,Technician has schedule gap or overload based on configured limits,capacity_utilization_signal,Create dispatch optimization suggestion,Capacity Review,Medium,Hourly,Cost Reduction,Better utilization reduces idle time and overtime while improving availability,"Schedule blocks, job durations, tech assignments",Dispatcher/manager review,"Technician utilization, schedule gaps",Repeat suggestions if accepted; deviate if drive time/source data poor; innovate routing rules,"If suggestions rejected due to local knowledge, capture constraint as context"
FSR-018,Job / Work Order,Technician en route,Tech en route status without customer notification,customer_update_required,Create/send/check customer ETA update depending integration permissions,Customer Update,Medium,Real time,Customer Experience,Proactive ETA updates reduce complaints and failed access,"Status timestamp, notification record",None/dispatcher review depending permissions,"Customer update completion, complaint rate",Repeat if update lowers complaints; deviate messaging if ineffective; innovate update automation,"If customers still complain, adjust timing/message content"
FSR-019,Job / Work Order,Technician arrived,Arrival not followed by started/completed/blocked status within configured window,job_status_stale,Create stale job status check,Status Check,Medium,Real time to 15 minutes,Visibility Improved,Stale job state blocks dispatch visibility and customer communication,"Arrival timestamp, missing status change",Dispatcher review,"Stale jobs, status completeness",Repeat status checks; deviate if job type takes longer; innovate status timer rules,"If many stale statuses, simplify technician capture or add nudges"
FSR-020,Job / Work Order,Job completed,Job marked complete,job_closeout_started,"Start closeout checklist for invoice, evidence, customer follow-up, and review request",Job Closeout,High,Real time to 15 minutes,Cash Acceleration,"Completion should trigger invoicing, proof, and review request before value leaks","Completion status, completion timestamp, work summary",Dispatcher/admin review if missing items,"Jobs completed, closeout completeness",Repeat if complete; deviate if closeout missing; innovate closeout automation,"If closeout often fails, add required tech/admin checklist before completion"
FSR-021,Job / Work Order,Job completed,Job completed but no technician notes/work summary,missing_work_summary,Create missing job summary task or request voice/text summary from tech,Missing Evidence,Medium,Real time to hourly,Quality Improved,"Missing notes weaken billing accuracy, warranty defense, and future service history",Work summary or tech note,Technician/manager review,"Missing job summaries, evidence completeness",Repeat prompt; deviate capture method; innovate voice-to-summary workflow,"If techs avoid typing, switch to voice note/photo-first capture"
FSR-022,Job / Work Order,Job completed,Job completed without required before/after photos or signature,missing_completion_evidence,Create missing evidence work item before final closeout,Missing Evidence,High,Real time to hourly,Risk Reduction,"Completion evidence protects against disputes, callbacks, and unpaid invoices",Required photos/signature/checklist according to configuration,Manager/admin review,"Evidence completeness, disputed jobs",Repeat evidence requirement; deviate by job type; innovate tech capture UI,"If missing evidence is common, make evidence capture required before completion"
FSR-023,Job / Work Order,Work performed note,"Tech note mentions additional issue, recommended repair, or future replacement",upsell_or_future_work_signal,Create service opportunity or estimate request work item,Service Opportunity,Medium,Hourly to daily,Revenue Creation,Technician observations can convert into follow-on revenue,"Tech note, related job, customer/location, recommended work",Manager/sales review,"Service opportunities, follow-on revenue",Repeat if opportunity converts; deviate if low quality; innovate tech prompt language,"If notes create poor opportunities, refine extraction rules and tech checklist"
FSR-024,Parts / Materials,Parts needed,Job marked parts needed or tech note includes missing/ordered part,blocked_by_parts,Create parts procurement and return-visit workflow,Parts / Return Visit,High,Real time to hourly,Speed Improved,"Parts delays extend cycle time, delay revenue, and create customer dissatisfaction","Part description, job, vendor/source if available, tech note",Dispatcher/manager review,"Jobs blocked by parts, return visit cycle time",Repeat parts workflow; deviate vendor/timing; innovate truck stock rules,"If same parts recur, suggest truck stock or vendor reorder rule"
FSR-025,Parts / Materials,Part ordered,Part ordered but no ETA or return visit scheduled,parts_followup_gap,Create parts ETA/return scheduling follow-up,Parts Follow-Up,Medium,Daily,Customer Experience,Untracked parts create forgotten jobs and unhappy customers,"Part order record, vendor, job/customer, order date",Admin/dispatcher review,"Parts missing ETA, unscheduled return visits",Repeat daily follow-up; deviate cadence by vendor; innovate vendor integration,"If vendor ETAs unreliable, adjust expectations and source scoring"
FSR-026,Parts / Materials,Return visit required,Return visit required but not scheduled within configured time window,return_visit_unscheduled,Create scheduling escalation for return visit,Return Visit Scheduling,High,Hourly to daily,Revenue Protection,Unscheduled return visits delay revenue recognition and increase churn/complaint risk,"Original job, reason for return, part/status, customer availability",Dispatcher/manager review,"Unscheduled returns, cycle time",Repeat scheduling; deviate if waiting on part/customer; innovate blocker classification,"If returns stuck for same reason, create specific blocker workflow"
FSR-027,Invoice / Payment,Job completed,Completed job has no invoice created by end of day,completed_not_invoiced,Create invoice creation follow-up,Invoice Follow-Up,High,Daily,Cash Acceleration,Completed but uninvoiced work directly delays cash collection,"Completed job, completion timestamp, invoice absence",Admin/bookkeeper review,"Completed not invoiced, days to invoice",Repeat invoice check; deviate if warranty/no-charge; innovate closeout-to-invoice automation,"If completed-not-invoiced recurring, create same-day invoice checkpoint"
FSR-028,Invoice / Payment,Invoice created,Invoice created but missing customer email/payment link/payment terms,invoice_data_gap,Create invoice cleanup task before send/follow-up,Invoice Cleanup,Medium,Daily,Cash Acceleration,Incomplete invoices slow payment and create avoidable admin work,"Invoice record, missing fields",Bookkeeper/admin review,"Invoice data gaps, payment latency",Repeat cleanup; deviate if source limitation; innovate invoice template rules,"If same fields missing, add required billing fields to intake"
FSR-029,Invoice / Payment,Unpaid invoice,Invoice unpaid 7 days after due/sent date,payment_followup_due,Create payment follow-up work item,Payment Follow-Up,Medium,Daily,Cash Acceleration,Collections discipline improves cash flow and reduces aging balances,"Invoice amount, due date, customer, last payment contact",Bookkeeper/admin review,"A/R aging, payment follow-up count",Repeat collection cadence; deviate for disputed/VIP accounts; innovate payment reminders,"If invoices remain unpaid after follow-ups, escalate to owner or payment plan workflow"
FSR-030,Invoice / Payment,Payment received,Payment received for job/invoice,cash_loop_closed,Close payment follow-up work item and update revenue/cash metrics,Closeout Update,Low,Daily or real time if webhook,Cash Acceleration,Payment closes revenue cycle and validates job-to-cash loop,"Payment record, invoice match, amount, timestamp",None unless mismatch,"Paid invoices, days sales outstanding, closed cash loop",Repeat; deviate if partial/mismatch; innovate payment reconciliation rules,"If payment mismatch detected, create reconciliation workflow"
FSR-031,Invoice / Payment,Payment dispute,"Customer disputes invoice, charge, or scope",payment_dispute,Create dispute review work item and attach job evidence packet,Dispute Review,High,Real time to daily,Risk Reduction,Fast evidence-backed response protects cash and reputation,"Invoice, job notes, photos, signature, customer messages",Manager/owner review,"Disputes, evidence packet completeness, revenue at risk",Repeat evidence packet; deviate if evidence missing; innovate completion proof requirements,"If disputes often lack evidence, strengthen closeout requirements"
FSR-032,Quality / Callback,Callback created,New callback/rework/warranty issue tied to prior job,callback_margin_risk,Create quality review and margin impact record,Callback Review,High,Real time to hourly,Margin Protection,"Callbacks consume unpaid labor, materials, and customer goodwill","Original job, callback reason, technician, warranty status, customer complaint",Manager/owner review,"Callback rate, rework cost, margin leakage",Repeat review; deviate if customer-caused; innovate training/checklist/pricing,"If callbacks cluster by tech/job type, create training or checklist update"
FSR-033,Quality / Callback,Warranty claim,Warranty work requested within configured warranty window,warranty_work_request,Create warranty validation work item before scheduling unpaid work,Warranty Review,Medium,Hourly to daily,Margin Protection,Validating warranty eligibility prevents unnecessary free work,"Original job, warranty terms, request details, date comparison",Manager review,"Warranty claims, approved/denied warranty work",Repeat validation; deviate policy; innovate warranty documentation,"If warranty evidence unclear, improve invoice/job documentation"
FSR-034,Quality / Callback,Customer complaint,Complaint detected in SMS/email/call/review or source system note,customer_rescue_needed,Create customer rescue escalation work item,Customer Rescue,Critical,Real time,Customer Experience,"Fast complaint resolution protects retention, referrals, and reputation","Complaint text/source, related job/customer, timestamp",Manager/owner review,"Complaints, resolution time, retention risk",Repeat escalation; deviate by severity; innovate service recovery playbook,"If complaint type repeats, update workflow or training"
FSR-035,Quality / Callback,Bad review,New public review below configured rating threshold,reputation_risk,Create owner review rescue workflow and attach related customer/job history,Review Rescue,Critical,Real time to hourly,Revenue Protection,Bad reviews reduce future lead conversion and can indicate service failures,"Review text, rating, platform, related customer/job if matched",Owner review,"Review rating, review response time, complaint category",Repeat rescue; deviate if spam/unmatched; innovate review request and recovery process,"If bad reviews cite same issue, create root-cause workflow"
FSR-036,Recurring Service,Service agreement due,Recurring/maintenance service due within configured lead window,recurring_service_due,Create scheduling opportunity work item,Recurring Service Scheduling,Medium,Daily,Revenue Creation,Recurring service protects repeat revenue and customer retention,"Agreement record, last service date, due date, customer info",CSR/dispatcher review,"Recurring due, recurring scheduled, recurring completion",Repeat if scheduled; deviate if customer declines; innovate renewal workflow,"If recurring services are missed, adjust due-date alerts and assignment"
FSR-037,Recurring Service,Service agreement renewal,Maintenance/service agreement expires within configured window,renewal_opportunity,Create renewal follow-up work item,Renewal Follow-Up,Medium,Daily/weekly,Revenue Protection,Renewal discipline protects recurring revenue base,"Agreement terms, expiration date, customer history",CSR/sales review,"Renewals due, renewal conversion, recurring revenue retained",Repeat successful cadence; deviate if decline; innovate renewal messaging,"If renewals decline, test new offer/timing"
FSR-038,Recurring Service,Completed non-recurring job,Job type/customer profile suggests maintenance plan eligibility,maintenance_plan_opportunity,Create maintenance plan offer/recommendation task,Service Opportunity,Low,Daily,Revenue Creation,Converts one-time jobs into recurring revenue,"Completed job, job type, customer eligibility signal",Sales/CSR review,"Maintenance plan opportunities, conversion",Repeat if accepted; deviate targeting; innovate service plan rules,"If recommendations convert poorly, narrow eligibility criteria"
FSR-039,Admin / Operating Context,Technician skill profile,Job assigned to tech without configured skill match,skill_mismatch_risk,Flag assignment and create dispatcher review,Dispatch Review,Medium,Real time to 15 minutes,Quality Improved,"Better skill matching reduces callbacks, rework, and customer dissatisfaction","Job type, required skill, assigned tech profile",Dispatcher/manager review,"Skill mismatch flags, callback rate by assignment",Repeat if accepted; deviate if context wrong; innovate skill matrix,"If managers override often, update skill profiles or job classification"
FSR-040,Admin / Operating Context,Pricing rule / margin target,Estimate/job amount appears below configured margin/pricing threshold,margin_leakage_signal,Create margin review or pricing exception work item,Margin Review,Medium,Daily,Margin Protection,Underpriced jobs erode profitability even when revenue grows,"Estimate/job amount, labor/material assumptions, configured target",Manager/owner review,"Pricing exceptions, gross margin risk",Repeat review; deviate thresholds; innovate pricing rules,"If many jobs under threshold, update price book or approval rules"
FSR-041,Admin / Operating Context,Business hours / emergency rules,New request received after hours or marked emergency,after_hours_emergency,Apply emergency routing and escalation workflow,Emergency Intake,Critical,Real time,Revenue Creation,Emergency work may command premium pricing and requires fast response,"Request timestamp, emergency classification, routing action",On-call/owner review,"After-hours requests, emergency response time, emergency conversion",Repeat if successful; deviate if false emergency; innovate emergency triage,"If many false emergencies, tighten classification prompts"
FSR-042,Admin / Operating Context,Vendor/parts supplier list,Part needed lacks assigned vendor/source,vendor_selection_needed,Create vendor/source selection task,Parts Follow-Up,Medium,Daily,Speed Improved,Fast vendor selection reduces return visit delays,"Part needed, vendor options, prior vendor context",Manager/admin review,"Parts with vendor, parts cycle time",Repeat preferred vendor; deviate if unavailable; innovate vendor scoring,"If vendor delays recur, adjust preferred vendor rules"
FSR-043,Data Quality,Source sync/report missing,Expected API sync/export/email report does not arrive by expected cadence,source_health_failure,Create data pipeline repair work item and flag affected metrics as stale,Data Pipeline Repair,High,At expected sync deadline,Visibility Improved,Missing data reduces trust and can hide revenue/cash/quality leakage,"Expected source, last successful sync, affected objects",Admin/technical review,"Source health, stale data count",Repeat monitoring; deviate cadence; innovate source fallback,"If source often fails, add email/report fallback or replace connector"
FSR-044,Data Quality,Conflicting source values,Same record has conflicting status/amount/date across sources,source_conflict_detected,Create reconciliation proposal and human review task,Reconciliation,Medium,Hourly/daily depending field,Data Quality,"Conflicting data causes bad decisions, duplicate follow-ups, and wrong metrics","Conflicting records, source timestamps, proposed canonical value",Admin/manager approval,"Source conflicts, reconciliation backlog",Repeat source precedence; deviate when wrong; innovate truth rules,Accepted resolutions train source priority and field precedence
FSR-045,Data Quality,Stale job status,Job status unchanged beyond expected stage duration,stale_operating_record,Create status verification task,Status Check,Medium,Hourly,Visibility Improved,Stale records hide blockers and distort capacity/cash forecasts,"Job record, last update timestamp, expected stage duration",Dispatcher review,"Stale records, status hygiene",Repeat; deviate expected timing; innovate stage definitions,"If statuses are stale due to tech behavior, simplify capture or add reminders"
FSR-046,Customer Experience,Appointment reminder status,Upcoming appointment lacks confirmation/reminder,appointment_confirmation_gap,Create/send/check customer confirmation,Customer Update,Medium,Daily/real time for next-day jobs,Customer Experience,"Confirmations reduce no-shows, failed access, and route disruption","Job schedule, notification status, customer contact",None/dispatcher review,"Appointment confirmations, failed access rate",Repeat if access improves; deviate timing; innovate reminder templates,"If confirmations not reducing no-shows, adjust channel/timing"
FSR-047,Customer Experience,Customer no-show/access issue,Tech marks customer unavailable or access blocked,failed_access_event,Create reschedule/customer contact work item and track wasted trip,Reschedule / Access Follow-Up,High,Real time,Cost Reduction,Failed access wastes labor/travel time and delays revenue,"Tech note, timestamp, customer contact attempt, location",Dispatcher review,"Failed access rate, wasted trip count",Repeat access follow-up; deviate reminder rules; innovate confirmation workflow,"If access issues recur, require confirmation before dispatch"
FSR-048,Technician Capture,Technician voice note,Voice note submitted after/during job,field_observation_received,"Transcribe/summarize voice note and propose job note, opportunity, or blocker",Field Note Review,Medium,Real time to hourly,Quality Improved,Voice capture reduces manual typing while preserving job knowledge,"Audio/transcript, related job, proposed summary",Tech/manager review if used externally,"Field notes captured, accepted agent summaries",Repeat accepted summaries; deviate prompt; innovate capture fields,"If summaries require many edits, tune vocabulary/context"
FSR-049,Technician Capture,Job photos,Photos uploaded for job,field_evidence_received,Classify photos as before/after/issue/part/proof and attach to job evidence,Evidence Classification,Low,Real time to hourly,Risk Reduction,"Organized photo evidence supports billing, disputes, and future work","Photo file, timestamp, job/location match",None/manager review for disputes,"Photo evidence completeness, evidence classification acceptance",Repeat classification; deviate if misclassified; innovate photo prompt UX,"If photos lack context, request category selection at capture"
FSR-050,Technician Capture,One-tap job blocked status,Tech marks job blocked,job_blocked,Create blocker resolution workflow based on selected blocker reason,Blocker Resolution,High,Real time,Speed Improved,Fast blocker resolution reduces cycle time and idle labor,"Blocker reason, tech note/photo if required, job reference",Dispatcher/manager review,"Blocked jobs, blocker resolution time",Repeat blocker workflow; deviate by blocker type; innovate common blocker prevention,"If blocker repeats, create prevention rule or pre-dispatch checklist"
FSR-051,Reporting / Management,Daily job export/report,Daily job report arrives,daily_operating_report_received,"Update job status mirror, detect closeout/evidence/invoice gaps, and generate daily exceptions",Daily Ops Review,Medium,Daily,Visibility Improved,Daily exception review catches hidden revenue/cash/service leaks,"Report file/source, parsed rows, exception list",Manager/admin review,"Daily exceptions, report freshness, data completeness",Repeat daily report; deviate parsing; innovate direct API if valuable,"If report is consistently valuable, prioritize API/webhook integration"
FSR-052,Reporting / Management,Estimate pipeline report,Open estimate report arrives,estimate_pipeline_refresh,Refresh stale quote queue and pipeline metrics,Pipeline Review,Medium,Daily,Revenue Protection,Pipeline visibility shows near-term revenue not yet captured,"Estimate report, parsed estimate statuses",Sales/manager review for exceptions,"Open pipeline value, stale estimates",Repeat; deviate follow-up thresholds; innovate pipeline dashboard,"If stale quote volume grows, adjust sales capacity or process"
FSR-053,Reporting / Management,Invoice aging report,A/R aging report arrives,cash_aging_refresh,Refresh unpaid invoice queue and create/escalate collection tasks,A/R Review,Medium,Daily/weekly,Cash Acceleration,A/R aging visibility supports collection discipline and cash recovery,"A/R report, invoice rows, customer balances",Bookkeeper/owner review,"A/R aging, overdue balance, collection tasks",Repeat; deviate collection cadence; innovate payment process,"If balances age despite tasks, update payment terms or escalation"
FSR-054,Reporting / Management,Callback/rework report,Callback/rework report shows rate above threshold or repeated category,quality_trend_signal,Create quality trend review and root-cause work item,Quality Review,Medium,Weekly,Margin Protection,Reducing callbacks preserves labor capacity and gross margin,"Callback report, affected jobs/techs/job types",Manager/owner review,"Callback rate, rework cost, trend category",Repeat if trend lowers; deviate training/rules; innovate SOP,"If trend persists, create SOP/checklist/training change"
FSR-055,Reporting / Management,Technician performance report,"Tech metrics show outlier completion time, callback rate, or missing evidence",technician_outlier_signal,Create manager review and coaching/training recommendation,Performance Review,Low,Weekly/monthly,Quality Improved,"Improved tech performance reduces rework, labor waste, and complaints","Performance report, metric trend, relevant jobs",Manager/owner review,"Tech performance, coaching tasks",Repeat coaching if improves; deviate if context explains; innovate training,"If coaching does not improve metric, change workflow or assignment rules"
FSR-056,Marketing / Reputation,Review request eligibility,Job completed with no complaint/callback and customer eligible for review request,review_request_opportunity,Create/send/check review request,Review Request,Low,Daily,Revenue Creation,More positive reviews improve future lead conversion,"Completed job, eligibility, customer contact",None/CSR review depending permissions,"Review requests, review conversion, average rating",Repeat if reviews improve; deviate if complaints; innovate request timing,"If review requests underperform, adjust timing/message/channel"
FSR-057,Marketing / Reputation,Dormant customer list,Customer has no job/service within configured reactivation window,reactivation_opportunity,Create reactivation campaign/follow-up list,Customer Reactivation,Low,Weekly/monthly,Revenue Creation,Reactivating past customers is often cheaper than acquiring new ones,"Customer history, last service date, eligibility criteria",Marketing/owner review,"Dormant customers, reactivation opportunities, reactivated revenue",Repeat if converts; deviate segment; innovate offer,"If campaign performs, create recurring reactivation workflow"
FSR-058,Financial / Margin,Job cost/labor/materials,Actual labor/material cost exceeds estimate or target margin threshold,job_margin_exception,Create margin variance review work item,Margin Review,Medium,Daily/weekly,Margin Protection,"Margin variance reveals pricing, scoping, labor, or materials leakage","Estimate, actual labor/materials, invoice, job notes",Manager/owner review,"Margin variance, job profitability exceptions",Repeat review; deviate thresholds; innovate pricing or scope rules,"If same job type underperforms, update price book or estimate checklist"
FSR-059,Financial / Margin,Discount applied,Discount exceeds configured threshold or lacks reason,discount_exception,Create discount approval/review task,Discount Review,Low,Daily,Margin Protection,Uncontrolled discounts erode margin and hide sales/process issues,"Invoice/estimate, discount amount, reason, approver if any",Manager/owner review,"Discount rate, unapproved discounts",Repeat review; deviate threshold; innovate discount policy,"If discounts cluster by tech/sales/source, create coaching or pricing rule"
FSR-060,Financial / Margin,Refund/credit issued,Refund or credit is issued,refund_margin_risk,Create refund reason review and link to job/customer/complaint,Refund Review,Medium,Daily,Margin Protection,Refunds reduce realized revenue and may signal quality or pricing problems,"Refund/credit record, reason, related job/invoice/customer",Manager/owner review,"Refund amount, refund reasons, margin leakage",Repeat reason capture; deviate if customer goodwill; innovate root cause,"If refund reasons repeat, update service, scope, or communication workflow"
